ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _wpcom_is_markdown","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global"
,simple,PosterLK00100,"Malibu Jazz Fest",1,0,visible,"Malibu Jazz Fest","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00100.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release",1992,1,1,"Poster Size","ca. 58x68.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00101,"Krakowiacy i Górale, czyli cud mniemany || Pretended Miracle, or Krakovians and Highlanders || Vermeintliche Wunder oder Die Krakauer und die Bergbauern",1,0,visible,"Krakowiacy i Górale, czyli cud mniemany","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER, OPERA",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00101.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","197?  / R 2008",1,1,"Poster Size","ca. 70x101.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00102,"Yerma Federico García Lorca",1,0,visible,"Yerma Federico García Lorca","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00102.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1972 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00104,"Grupa Laokoona Tadeusz Różewicz",1,0,visible,"Grupa Laokoona Tadeusz Różewicz","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00104.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1975 / R 2008",1,1,"Poster Size","ca. 72.5x91.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00105,"Moscow 80 Moscow Fly To Moscow",1,0,visible,"Moscow 80 Moscow Fly To Moscow","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"OTHER POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00105.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1979 / R 2008",1,1,"Poster Size","ca. 66.5x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00107,"Iwona, księżniczka Burgunda Witold Gombrowicz || Ivona Princess of Burgundia Witold Gombrowicz || Yvonne die Burgunderprinzessin Witold Gombrowicz",1,0,visible,"Iwona, księżniczka Burgunda Witold Gombrowicz","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,80.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00107.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release",1975,1,1,"Poster Size","ca. B1 = 68x97cm = 27x38 in",1,1,Edition,original,1,1,"Print Technique",offset,1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00108,"Yerma Federico García Lorca",1,0,visible,"Yerma Federico García Lorca","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00108.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1972 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00109,"David Sanborn Touchtone",1,0,visible,"David Sanborn Touchtone","Polish Poster",,,taxable,,0,0,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00109.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1981 / R 2008",1,1,"Poster Size","ca. 91.5 x 46.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00111,"David Sanborn Voyeur",1,0,visible,"David Sanborn Voyeur","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00111.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1981 / R 2008",1,1,"Poster Size","ca. 67x102 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00112,"Willie Nelson",1,0,visible,"Willie Nelson","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00112.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1988 / R 2008",1,1,"Poster Size","ca. 68.5x91.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
